Year,Team ID,Team Name,Games,Wins,Loses,Team Salary
2015,SLN,St. Louis Cardinals,162,100,62,119241500
2015,PIT,Pittsburgh Pirates,162,98,64,88892499
2015,CHN,Chicago Cubs,162,97,65,115879310
2015,KCA,Kansas City Royals,162,95,67,112107025
2015,TOR,Toronto Blue Jays,162,93,69,112992400
2015,LAN,Los Angeles Dodgers,162,92,70,215792000
2015,NYN,New York Mets,162,90,72,96766683
2015,TEX,Texas Rangers,162,88,74,143742789
2015,NYA,New York Yankees,162,87,75,212751957
2015,HOU,Houston Astros,162,86,76,72256200
2015,LAA,Los Angeles Angels of Anaheim,162,85,77,120005415
2015,SFN,San Francisco Giants,162,84,78,164701500
2015,WAS,Washington Nationals,162,83,79,155587472
2015,MIN,Minnesota Twins,162,83,79,107755000
2015,CLE,Cleveland Indians,161,81,80,87663766
2015,BAL,Baltimore Orioles,162,81,81,115044833
2015,TBA,Tampa Bay Rays,162,80,82,64521233
2015,ARI,Arizona Diamondbacks,162,79,83,61834000
2015,BOS,Boston Red Sox,162,78,84,181103400
2015,CHA,Chicago White Sox,162,76,86,112373700
2015,SEA,Seattle Mariners,162,76,86,122208700
2015,SDN,San Diego Padres,162,74,88,118441300
2015,DET,Detroit Tigers,161,74,87,172284750
2015,MIA,Miami Marlins,162,71,91,68056500
2015,MIL,Milwaukee Brewers,162,68,94,100850000
2015,OAK,Oakland Athletics,162,68,94,79053501
2015,COL,Colorado Rockies,162,68,94,95688600
2015,ATL,Atlanta Braves,162,67,95,71781250
2015,CIN,Cincinnati Reds,162,64,98,113072286
2015,PHI,Philadelphia Phillies,162,63,99,111693000
