Year,Team ID,Team Name,Games,Wins,Loses
1990,MON,Montreal Expos,162,85,77
1990,NYA,New York Yankees,162,67,95
1990,NYN,New York Mets,162,91,71
1990,OAK,Oakland Athletics,162,103,59
1990,PHI,Philadelphia Phillies,162,77,85
1990,PIT,Pittsburgh Pirates,162,95,67
1990,SDN,San Diego Padres,162,75,87
1990,SEA,Seattle Mariners,162,77,85
1990,SFN,San Francisco Giants,162,85,77
1990,SLN,St. Louis Cardinals,162,70,92
1990,TEX,Texas Rangers,162,83,79
1990,TOR,Toronto Blue Jays,162,86,76
1991,ATL,Atlanta Braves,162,94,68
1991,BAL,Baltimore Orioles,162,67,95
1991,BOS,Boston Red Sox,162,84,78
1991,CAL,California Angels,162,81,81
1991,CHA,Chicago White Sox,162,87,75
1991,CHN,Chicago Cubs,160,77,83
1991,CIN,Cincinnati Reds,162,74,88
1991,CLE,Cleveland Indians,162,57,105
1991,DET,Detroit Tigers,162,84,78
1991,HOU,Houston Astros,162,65,97
1991,KCA,Kansas City Royals,162,82,80
1991,LAN,Los Angeles Dodgers,162,93,69
1991,MIN,Minnesota Twins,162,95,67
1991,ML4,Milwaukee Brewers,162,83,79
1991,MON,Montreal Expos,161,71,90
1991,NYA,New York Yankees,162,71,91
1991,NYN,New York Mets,161,77,84
1991,OAK,Oakland Athletics,162,84,78
1991,PHI,Philadelphia Phillies,162,78,84
1991,PIT,Pittsburgh Pirates,162,98,64
1991,SDN,San Diego Padres,162,84,78
1991,SEA,Seattle Mariners,162,83,79
1991,SFN,San Francisco Giants,162,75,87
1991,SLN,St. Louis Cardinals,162,84,78
1991,TEX,Texas Rangers,162,85,77
1991,TOR,Toronto Blue Jays,162,91,71
1992,ATL,Atlanta Braves,162,98,64
1992,BAL,Baltimore Orioles,162,89,73
1992,BOS,Boston Red Sox,162,73,89
1992,CAL,California Angels,162,72,90
1992,CHA,Chicago White Sox,162,86,76
1992,CHN,Chicago Cubs,162,78,84
1992,CIN,Cincinnati Reds,162,90,72
1992,CLE,Cleveland Indians,162,76,86
1992,DET,Detroit Tigers,162,75,87
1992,HOU,Houston Astros,162,81,81
1992,KCA,Kansas City Royals,162,72,90
1992,LAN,Los Angeles Dodgers,162,63,99
1992,MIN,Minnesota Twins,162,90,72
1992,ML4,Milwaukee Brewers,162,92,70
1992,MON,Montreal Expos,162,87,75
1992,NYA,New York Yankees,162,76,86
